| Consumer      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:155:22:155:29              | apply            | apply(Ansi)        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:156:14:156:18              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:156:14:156:18              |
| IoRunnable    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/io/AnsiOutputStream.java:46:22:46:31 | run              | run()              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/io/AnsiOutputStream.java:47:14:47:16 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/io/AnsiOutputStream.java:47:14:47:16 |
| WidthSupplier | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/io/AnsiOutputStream.java:51:22:51:34 | getTerminalWidth | getTerminalWidth() | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/io/AnsiOutputStream.java:52:13:52:28 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/io/AnsiOutputStream.java:52:13:52:28 |
| Attribute                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:87:17:87:25                        | value                                             | value()                                                                                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:120:20:120:24                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:120:28:122:9                       |
| Attribute                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:87:17:87:25                        | toString                                          | toString()                                                                                                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:116:23:116:30                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:116:34:118:9                       |
| Attribute                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:87:17:87:25                        | Attribute                                         | Attribute(int, String)                                                                                                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:110:9:110:17                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:110:43:113:9                       |
| Attribute                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:87:17:87:25                        | <clinit>                                          | <clinit>()                                                                                                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:87:17:87:25                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:87:17:87:25                        |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                        | append2                                           | append2(char)                                                                                                                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:995:17:995:23                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:995:33:998:5                       |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                        | append                                            | append(char)                                                                                                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:990:17:990:22                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:990:32:992:5                       |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                        | append1                                           | append1(CharSequence, int, int)                                                                                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:984:17:984:23                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:984:63:987:5                       |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                        | append                                            | append(CharSequence, int, int)                                                                                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:979:17:979:22                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:979:62:981:5                       |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                        | append0                                           | append0(CharSequence)                                                                                                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:973:17:973:23                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:973:43:976:5                       |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                        | append                                            | append(CharSequence)                                                                                                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:968:17:968:22                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:968:42:970:5                       |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                        | toString                                          | toString()                                                                                                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:908:19:908:26                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:908:30:911:5                       |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                        | render1                                           | render1(String, Object[])                                                                                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:902:17:902:23                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:902:60:905:5                       |
